_ID_,bar,barTemp,humidity,mslBar,time
3,100.667274,50.3431053,4.04089022,54.9299622,693.4488522981992
8,100.666245,50.3532295,4.19338179,55.0159874,693.46085229876917
13,100.667274,50.3431053,4.04089022,54.9299622,693.46885229914915
17,100.668129,50.3481674,4.04046583,54.8581085,693.47685229952913
25,100.672752,50.3431053,3.9111383,54.4710045,693.48491943383124
29,100.663506,50.3532295,4.09901905,55.2457314,693.49291943421122
33,100.668129,50.3481674,3.83403754,54.8581085,693.5009194345912
40,100.666245,50.3532295,3.99285817,55.0159874,693.50891943497118
51,100.66539,50.3481674,4.25867653,55.0878448,693.52091943554115
57,100.668129,50.3481674,4.15252161,54.8581085,693.52891943592113
61,100.667274,50.3431053,4.25320148,54.9299622,693.5369194363011
67,100.668129,50.3481674,4.14662409,54.8581085,693.55291943706106
72,100.666245,50.3532295,3.83361077,55.0159874,693.56091943744104
78,100.672577,50.3582916,3.75650573,54.4856796,693.57291943801101
83,100.668983,50.3532295,4.09901905,54.7867584,693.58089501957875
88,100.662651,50.3481674,4.33534193,55.3170815,693.58889501995873
96,100.667274,50.3431053,4.19422722,54.9299622,693.60489502071869
99,100.666245,50.3532295,4.22876692,55.0159874,693.61289502109867
105,100.667953,50.3633575,3.77377343,54.8727798,693.62489502166864
109,100.661789,50.3431053,4.33576345,55.3894501,693.63289502204861
114,100.672752,50.3431053,3.58083844,54.4710045,693.64089502242859
117,100.664528,50.3431053,3.93472981,55.1602097,693.64889502280857
122,100.668983,50.3532295,4.2700491,54.7867584,693.65689502318855
127,100.670868,50.3481674,4.06405687,54.6288795,693.66489502356853
133,100.671722,50.3532295,3.85130525,54.5570259,693.6768950241385
137,100.668129,50.3481674,4.28226614,54.8581085,693.68487060570624
142,100.670868,50.3481674,4.10534048,54.6288795,693.69287060608622
147,100.663506,50.3532295,4.31133127,55.2457314,693.7008706064662
154,100.657166,50.3481674,4.48277044,55.7770996,693.70887060684618
161,100.662651,50.3481674,4.13482857,55.3170815,693.71687060722616
172,100.661789,50.3431053,4.17653513,55.3894501,693.7368706081761
176,100.663506,50.3532295,4.1638937,55.2457314,693.74487060855608
179,100.667274,50.3431053,3.65751815,54.9299622,693.75287060893606
184,100.674461,50.3532295,4.31133127,54.3278046,693.76087060931604
189,100.663506,50.3532295,4.16979122,55.2457314,693.76887060969602
193,100.661789,50.3431053,4.09986687,55.3894501,693.776870610076
